     ,main_currency,secondary_currency,date               ,period,high      ,low       ,open      ,close     ,volume       ,quote_volume  ,weighted_average
0    ,BTC          ,ETH               ,2017-11-02 10:00:00,300   ,0.04066191,0.04      ,0.04027822,0.04044981,82.57561171  ,2056.75082237 ,0.04014857
1    ,BTC          ,ETH               ,2017-11-01 00:00:00,300   ,0.04798209,0.04789   ,0.0479247 ,0.04791996,9.04857055   ,188.80102987  ,0.04792648
2    ,BTC          ,ETH               ,2017-11-01 00:05:00,300   ,0.04802899,0.04789001,0.04791997,0.04796203,10.25702623  ,213.65923303  ,0.04800647
3    ,BTC          ,ETH               ,2017-11-01 00:10:00,300   ,0.04801197,0.04793209,0.04796207,0.0479321 ,1.92406316   ,40.12303433   ,0.04795407
4    ,BTC          ,ETH               ,2017-11-01 00:15:00,300   ,0.04795591,0.047895  ,0.04792404,0.04792509,14.4810291   ,302.24628988  ,0.04791135
5    ,BTC          ,ETH               ,2017-11-01 00:20:00,300   ,0.04796153,0.04789   ,0.04792518,0.04789005,6.84691399   ,142.91633928  ,0.04790854
6    ,BTC          ,ETH               ,2017-11-01 00:25:00,300   ,0.04800007,0.04789001,0.04789005,0.048     ,20.48247211  ,426.99330992  ,0.04796907
7    ,BTC          ,ETH               ,2017-11-01 00:30:00,300   ,0.04800002,0.04790004,0.048     ,0.04790007,5.11836675   ,106.67851932  ,0.04797935
8    ,BTC          ,ETH               ,2017-11-01 00:35:00,300   ,0.04799765,0.04789001,0.04790007,0.04789001,5.95304164   ,124.27636933  ,0.04790163
9    ,BTC          ,ETH               ,2017-11-01 00:40:00,300   ,0.04792475,0.04788404,0.04789001,0.04788405,5.18075536   ,108.17303211  ,0.04789322
10   ,BTC          ,ETH               ,2017-11-01 00:45:00,300   ,0.04791592,0.0478163 ,0.04788405,0.04785   ,3.04717207   ,63.67834275   ,0.04785256
11   ,BTC          ,ETH               ,2017-11-01 00:50:00,300   ,0.047898  ,0.04782651,0.04783083,0.04783012,4.48159244   ,93.64790005   ,0.04785577
12   ,BTC          ,ETH               ,2017-11-01 00:55:00,300   ,0.04784   ,0.04760002,0.04783012,0.04772   ,14.81298858  ,310.54445347  ,0.04770005
13   ,BTC          ,ETH               ,2017-11-01 01:00:00,300   ,0.04772297,0.04728508,0.04772297,0.04752301,68.82385804  ,1449.0822471  ,0.04749479
